"","Measurement","Period1","Treatment","mean","sem"
"43","HCO3","Treatment","ATHC",1901.79331513284,9.40476141785738
"44","HCO3","Treatment","HTAC",1637.15437912268,12.0159571273145
"45","HCO3","Treatment","HTHC",1894.23336718124,12.4041109155916
"46","pCO2","Acclimation","Acclimation",523.327755631578,3.48898044021796
"47","pCO2","RampDown","ATAC",484.033013325077,11.8860980458851
"48","pCO2","RampDown","ATHC",458.372855001579,11.1117929898677
"49","pCO2","RampDown","HTAC",504.756201840997,7.07573452892815
"50","pCO2","RampDown","HTHC",493.474008209624,15.1304090820243
"51","pCO2","Treatment","ATAC",395.873972424423,12.2357826404421
"52","pCO2","Treatment","ATHC",1044.75790267057,34.7566276591617
"53","pCO2","Treatment","HTAC",418.297701111671,12.9716273899667
"54","pCO2","Treatment","HTHC",1173.79439116881,55.4760105096126
"55","pH","Acclimation","Acclimation",7.92599629062403,0.00225726059579276
"56","pH","RampDown","ATAC",7.95391001101392,0.00821538352765298
"57","pH","RampDown","ATHC",7.97012695633974,0.00785143265880457
"58","pH","RampDown","HTAC",7.93304655143973,0.00547183518311077
"59","pH","RampDown","HTHC",7.93958045492398,0.0128434842466794
"60","pH","Treatment","ATAC",8.03247690326304,0.0109093080732507
"61","pH","Treatment","ATHC",7.67568070157408,0.0139751731630946
"62","pH","Treatment","HTAC",8.01040441425363,0.0115653534441823
"63","pH","Treatment","HTHC",7.63913811417432,0.0193447994090519
"64","Salinity","Acclimation","Acclimation",34.151875,0.0205997319966385
"65","Salinity","RampDown","ATAC",33.59,0.0608276253029826
"66","Salinity","RampDown","ATHC",33.5866666666667,0.0622718056408988
"67","Salinity","RampDown","HTAC",33.95,0.0472581562625252
"68","Salinity","RampDown","HTHC",34.04,0.0500000000000019
"69","Salinity","Treatment","ATAC",33.8585416666667,0.0812038137049276
"70","Salinity","Treatment","ATHC",33.864375,0.0798846166199584
"71","Salinity","Treatment","HTAC",34.003125,0.068482899098765
"72","Salinity","Treatment","HTHC",34.02,0.0774585224170682
"73","TA","Acclimation","Acclimation",2168.1117436875,6.04725344963727
"74","TA","RampDown","ATAC",2149.23654733333,7.7759622552289
"75","TA","RampDown","ATHC",2128.859758,6.71964162819826
"76","TA","RampDown","HTAC",2131.010951,3.72151673047781
"77","TA","RampDown","HTHC",2121.813958,11.2955652889167
"78","TA","Treatment","ATAC",2159.06333914583,5.88887478148307
"79","TA","Treatment","ATHC",2162.74427014583,5.48931470628858
"80","TA","Treatment","HTAC",2155.57622022917,5.24636534618629
"81","TA","Treatment","HTHC",2156.7937915625,5.31045531414961
"82","Temperature","Acclimation","Acclimation",27.371875,0.136208231365313
"83","Temperature","RampDown","ATAC",25.19,0.149331845230681
"84","Temperature","RampDown","ATHC",25.2066666666667,0.0466666666666666
"85","Temperature","RampDown","HTAC",27.7166666666667,0.072188026092359
"86","Temperature","RampDown","HTHC",27.5833333333333,0.105882534495123
"87","Temperature","Treatment","ATAC",27.4683333333333,0.126513648709112
"88","Temperature","Treatment","ATHC",27.46,0.120504995335086
"89","Temperature","Treatment","HTAC",29.3675,0.0598761280413143
"90","Temperature","Treatment","HTHC",29.5095833333333,0.0580305910502033
