Orthogroup	Duplications (all)	Duplications (50% support)
OG0000217	32	32
OG0000218	31	31
OG0000219	31	31
OG0000220	31	31
OG0000221	31	31
OG0000222	31	31
OG0000223	30	30
OG0000224	31	31
OG0000225	30	30
OG0000226	29	29
OG0000227	30	30
OG0000228	29	29
OG0000229	30	30
OG0000230	29	29
OG0000231	30	30
OG0000232	30	30
OG0000233	30	30
OG0000234	30	30
OG0000235	30	30
OG0000236	30	30
OG0000237	28	28
OG0000238	29	29
OG0000239	29	29
OG0000240	28	28
OG0000241	28	28
OG0000242	29	29
OG0000243	29	29
OG0000244	29	29
OG0000245	29	29
OG0000246	29	29
OG0000247	29	29
OG0000248	28	28
OG0000249	29	29
OG0000250	29	29
OG0000251	28	28
OG0000252	27	27
OG0000253	28	28
OG0000254	28	28
OG0000255	28	28
OG0000256	28	28
OG0000257	28	28
OG0000258	28	28
OG0000259	26	26
OG0000260	28	28
OG0000261	28	28
OG0000262	26	26
OG0000263	27	27
OG0000264	28	28
OG0000265	28	28
OG0000266	28	28
OG0000267	28	28
OG0000268	28	28
OG0000269	27	27
OG0000270	28	28
OG0000271	28	28
OG0000272	28	28
OG0000273	28	28
OG0000274	27	27
OG0000275	26	26
OG0000276	27	27
OG0000277	26	26
OG0000278	27	27
OG0000279	27	27
OG0000280	27	27
OG0000281	27	27
OG0000282	24	24
OG0000283	27	27
OG0000284	27	27
OG0000285	27	27
OG0000286	27	27
OG0000287	26	26
OG0000288	27	27
OG0000289	27	27
OG0000290	27	27
OG0000291	27	27
OG0000292	27	27
OG0000293	27	27
OG0000294	26	26
OG0000295	27	27
OG0000296	27	27
OG0000297	26	26
OG0000298	26	26
OG0000299	26	26
OG0000300	26	26
OG0000301	26	26
OG0000302	26	26
OG0000303	26	26
OG0000304	24	24
OG0000305	26	26
OG0000306	25	25
OG0000307	26	26
OG0000308	25	25
OG0000309	26	26
OG0000310	26	26
OG0000311	26	26
OG0000312	26	26
OG0000313	25	25
OG0000314	26	26
OG0000315	26	26
OG0000316	26	26
OG0000317	26	26
OG0000318	26	26
OG0000319	26	26
OG0000320	26	26
OG0000321	25	25
OG0000322	25	25
OG0000323	24	24
OG0000324	25	25
OG0000325	25	25
OG0000326	25	25
OG0000327	25	25
OG0000328	25	25
OG0000329	25	25
OG0000330	24	24
OG0000331	24	24
OG0000332	25	25
OG0000333	24	24
OG0000334	25	25
OG0000335	25	25
OG0000336	25	25
OG0000337	25	25
OG0000338	25	25
OG0000339	25	25
OG0000340	25	25
OG0000341	25	25
OG0000342	25	25
OG0000343	23	23
OG0000344	23	23
OG0000345	23	23
OG0000346	24	24
OG0000347	24	24
OG0000348	24	24
OG0000349	24	24
OG0000350	23	23
OG0000351	24	24
OG0000352	23	23
OG0000353	24	24
OG0000354	24	24
OG0000355	24	24
OG0000356	23	23
OG0000357	24	24
OG0000358	24	24
OG0000359	24	24
OG0000360	24	24
OG0000361	24	24
OG0000362	24	24
OG0000363	24	24
OG0000364	22	22
OG0000365	22	22
OG0000366	23	23
OG0000367	21	21
OG0000368	23	23
OG0000369	23	23
OG0000370	23	23
OG0000371	23	23
OG0000372	23	23
OG0000373	23	23
OG0000374	23	23
OG0000375	23	23
OG0000376	22	22
OG0000377	23	23
OG0000378	22	22
OG0000379	23	23
OG0000380	22	22
OG0000381	23	23
OG0000382	22	22
OG0000383	23	23
OG0000384	23	23
OG0000385	23	23
OG0000386	23	23
OG0000387	23	23
OG0000388	23	23
OG0000389	23	23
OG0000390	23	23
OG0000391	23	23
OG0000392	23	23
OG0000393	22	22
OG0000394	22	22
OG0000395	21	21
OG0000396	22	22
OG0000397	21	21
OG0000398	22	22
OG0000399	21	21
OG0000400	22	22
OG0000401	21	21
OG0000402	22	22
OG0000403	22	22
OG0000404	22	22
OG0000405	21	21
OG0000406	22	22
OG0000407	22	22
OG0000408	22	22
OG0000409	21	21
OG0000410	21	21
OG0000411	22	22
OG0000412	22	22
OG0000413	22	22
OG0000414	22	22
OG0000415	22	22
OG0000416	22	22
OG0000417	20	20
OG0000418	22	22
OG0000419	21	21
OG0000420	21	21
OG0000421	22	22
OG0000422	22	22
OG0000423	22	22
OG0000424	22	22
OG0000425	22	22
OG0000426	21	21
OG0000427	21	21
OG0000428	21	21
OG0000429	21	21
OG0000430	21	21
OG0000431	21	21
OG0000432	21	21
OG0000433	21	21
OG0000434	21	21
OG0000435	21	21
OG0000436	20	20
OG0000437	20	20
OG0000438	21	21
OG0000439	21	21
OG0000440	21	21
OG0000441	21	21
OG0000442	21	21
OG0000443	21	21
OG0000444	20	20
OG0000445	21	21
OG0000446	21	21
OG0000447	21	21
OG0000448	20	20
OG0000449	21	21
OG0000450	21	21
OG0000451	20	20
OG0000452	21	21
OG0000453	21	21
OG0000454	20	20
OG0000455	21	21
OG0000456	21	21
OG0000457	20	20
OG0000458	20	20
OG0000459	19	19
OG0000460	20	20
OG0000461	20	20
OG0000462	19	19
OG0000463	20	20
OG0000464	18	18
OG0000465	20	20
OG0000466	20	20
OG0000467	20	20
OG0000468	20	20
OG0000469	20	20
OG0000470	19	19
OG0000471	20	20
OG0000472	20	20
OG0000473	18	18
OG0000474	20	20
OG0000475	20	20
OG0000476	20	20
OG0000477	19	19
OG0000478	20	20
OG0000479	19	19
OG0000480	20	20
OG0000481	20	20
OG0000482	19	19
OG0000483	20	20
OG0000484	20	20
OG0000485	20	20
OG0000486	19	19
OG0000487	19	19
OG0000488	19	19
OG0000489	19	19
OG0000490	19	19
OG0000491	18	18
OG0000492	19	19
OG0000493	19	19
OG0000494	19	19
OG0000495	19	19
OG0000496	18	18
OG0000497	19	19
OG0000498	19	19
OG0000499	18	18
OG0000500	19	19
OG0000501	19	19
OG0000502	19	19
OG0000503	19	19
OG0000504	18	18
OG0000505	19	19
OG0000506	19	19
OG0000507	18	18
OG0000508	18	18
OG0000509	19	19
OG0000510	19	19
OG0000511	19	19
OG0000512	19	19
OG0000513	19	19
OG0000514	19	19
OG0000515	19	19
OG0000516	19	19
OG0000517	18	18
OG0000518	19	19
OG0000519	19	19
OG0000520	18	18
OG0000521	19	19
OG0000522	19	19
OG0000523	19	19
OG0000524	18	18
OG0000525	19	19
OG0000526	19	19
OG0000527	19	19
OG0000528	19	19
OG0000529	19	19
OG0000530	19	19
OG0000531	19	19
OG0000532	18	18
OG0000533	18	18
OG0000534	18	18
OG0000535	18	18
OG0000536	18	18
OG0000537	18	18
OG0000538	18	18
OG0000539	18	18
OG0000540	18	18
OG0000541	18	18
OG0000542	18	18
OG0000543	18	18
OG0000544	18	18
OG0000545	18	18
OG0000546	18	18
OG0000547	18	18
OG0000548	18	18
OG0000549	18	18
OG0000550	18	18
OG0000551	18	18
OG0000552	18	18
OG0000553	18	18
OG0000554	18	18
OG0000555	18	18
OG0000556	18	18
OG0000557	18	18
OG0000558	18	18
OG0000559	18	18
OG0000560	17	17
OG0000561	18	18
OG0000562	18	18
OG0000563	18	18
OG0000564	18	18
OG0000565	18	18
OG0000566	18	18
OG0000567	18	18
OG0000568	18	18
OG0000569	18	18
OG0000570	18	18
OG0000571	18	18
OG0000572	18	18
OG0000573	18	18
OG0000574	18	18
OG0000575	18	18
OG0000576	17	17
OG0000577	17	17
OG0000578	17	17
OG0000579	17	17
OG0000580	17	17
OG0000581	16	16
OG0000582	16	16
OG0000583	16	16
OG0000584	16	16
OG0000585	17	17
OG0000586	16	16
OG0000587	17	17
OG0000588	17	17
OG0000589	17	17
OG0000590	16	16
OG0000591	17	17
OG0000592	16	16
OG0000593	16	16
OG0000594	17	17
OG0000595	17	17
OG0000596	17	17
OG0000597	15	15
OG0000598	17	17
OG0000599	17	17
OG0000600	17	17
OG0000601	17	17
OG0000602	16	16
OG0000603	17	17
OG0000604	17	17
OG0000605	17	17
OG0000606	17	17
OG0000607	17	17
OG0000608	17	17
OG0000609	17	17
OG0000610	15	15
OG0000611	17	17
OG0000612	17	17
OG0000613	17	17
OG0000614	17	17
OG0000615	16	16
OG0000616	16	16
OG0000617	16	16
OG0000618	17	17
OG0000619	17	17
OG0000620	17	17
OG0000621	17	17
OG0000622	17	17
OG0000623	17	17
OG0000624	17	17
OG0000625	17	17
OG0000626	17	17
OG0000627	17	17
OG0000628	17	17
OG0000629	17	17
OG0000630	16	16
OG0000631	16	16
OG0000632	16	16
OG0000633	16	16
OG0000634	15	15
OG0000635	16	16
OG0000636	14	14
OG0000637	15	15
OG0000638	15	15
OG0000639	16	16
OG0000640	16	16
OG0000641	15	15
OG0000642	16	16
OG0000643	16	16
OG0000644	16	16
OG0000645	16	16
OG0000646	16	16
OG0000647	15	15
OG0000648	16	16
OG0000649	16	16
OG0000650	15	15
OG0000651	15	15
OG0000652	16	16
OG0000653	15	15
OG0000654	15	15
OG0000655	16	16
OG0000656	15	15
OG0000657	16	16
OG0000658	16	16
OG0000659	16	16
OG0000660	16	16
OG0000661	16	16
OG0000662	16	16
OG0000663	15	15
OG0000664	16	16
OG0000665	16	16
OG0000666	15	15
OG0000667	16	16
OG0000668	16	16
OG0000669	16	16
OG0000670	16	16
OG0000671	15	15
OG0000672	16	16
OG0000673	16	16
OG0000674	16	16
OG0000675	16	16
OG0000676	15	15
OG0000677	15	15
OG0000678	16	16
OG0000679	16	16
OG0000680	16	16
OG0000681	16	16
OG0000682	16	16
OG0000683	16	16
OG0000684	16	16
OG0000685	16	16
OG0000686	15	15
OG0000687	15	15
OG0000688	14	14
OG0000689	15	15
OG0000690	15	15
OG0000691	15	15
OG0000692	15	15
OG0000693	15	15
OG0000694	14	14
OG0000695	15	15
OG0000696	14	14
OG0000697	15	15
OG0000698	15	15
OG0000699	14	14
OG0000700	15	15
OG0000701	14	14
OG0000702	14	14
OG0000703	15	15
OG0000704	15	15
OG0000705	14	14
OG0000706	15	15
OG0000707	15	15
OG0000708	15	15
OG0000709	15	15
OG0000710	15	15
OG0000711	15	15
OG0000712	15	15
OG0000713	15	15
OG0000714	14	14
OG0000715	15	15
OG0000716	14	14
OG0000717	15	15
OG0000718	15	15
OG0000719	15	15
OG0000720	15	15
OG0000721	15	15
OG0000722	15	15
OG0000723	14	14
OG0000724	15	15
OG0000725	15	15
OG0000726	15	15
OG0000727	15	15
OG0000728	15	15
OG0000729	14	14
OG0000730	14	14
OG0000731	15	15
OG0000732	15	15
OG0000733	14	14
OG0000734	15	15
OG0000735	15	15
OG0000736	15	15
OG0000737	15	15
OG0000738	13	13
OG0000739	15	15
OG0000740	15	15
OG0000741	15	15
OG0000742	15	15
OG0000743	15	15
OG0000744	15	15
OG0000745	15	15
OG0000746	15	15
OG0000747	15	15
OG0000748	15	15
OG0000749	15	15
OG0000750	15	15
OG0000751	15	15
OG0000752	15	15
OG0000753	15	15
OG0000754	14	14
OG0000755	13	13
OG0000756	14	14
OG0000757	14	14
OG0000758	14	14
OG0000759	13	13
OG0000760	13	13
OG0000761	14	14
OG0000762	14	14
OG0000763	13	13
OG0000764	14	14
OG0000765	14	14
OG0000766	13	13
OG0000767	14	14
OG0000768	14	14
OG0000769	14	14
OG0000770	13	13
OG0000771	14	14
OG0000772	14	14
OG0000773	13	13
OG0000774	14	14
OG0000775	14	14
OG0000776	14	14
OG0000777	14	14
OG0000778	14	14
OG0000779	14	14
OG0000780	14	14
OG0000781	13	13
OG0000782	14	14
OG0000783	14	14
OG0000784	14	14
OG0000785	13	13
OG0000786	14	14
OG0000787	14	14
OG0000788	13	13
OG0000789	13	13
OG0000790	14	14
OG0000791	13	13
OG0000792	14	14
OG0000793	13	13
OG0000794	14	14
OG0000795	14	14
OG0000796	13	13
OG0000797	14	14
OG0000798	14	14
OG0000799	14	14
OG0000800	14	14
OG0000801	13	13
OG0000802	14	14
OG0000803	14	14
OG0000804	14	14
OG0000805	14	14
OG0000806	13	13
OG0000807	14	14
OG0000808	14	14
OG0000809	14	14
OG0000810	13	13
OG0000811	13	13
OG0000812	14	14
OG0000813	14	14
OG0000814	14	14
OG0000815	14	14
OG0000816	14	14
OG0000817	14	14
OG0000818	14	14
OG0000819	14	14
OG0000820	14	14
OG0000821	14	14
OG0000822	14	14
OG0000823	14	14
OG0000824	14	14
OG0000825	14	14
OG0000826	14	14
OG0000827	14	14
OG0000828	13	13
OG0000829	13	13
OG0000830	13	13
OG0000831	12	12
OG0000832	13	13
OG0000833	12	12
OG0000834	13	13
OG0000835	13	13
OG0000836	12	12
OG0000837	11	11
OG0000838	13	13
OG0000839	12	12
OG0000840	13	13
OG0000841	13	13
OG0000842	13	13
OG0000843	12	12
OG0000844	13	13
OG0000845	13	13
OG0000846	13	13
OG0000847	13	13
OG0000848	13	13
OG0000849	13	13
OG0000850	12	12
OG0000851	13	13
OG0000852	13	13
OG0000853	12	12
OG0000854	13	13
OG0000855	13	13
OG0000856	12	12
OG0000857	12	12
OG0000858	13	13
OG0000859	13	13
OG0000860	13	13
OG0000861	13	13
OG0000862	13	13
OG0000863	13	13
OG0000864	13	13
OG0000865	12	12
OG0000866	13	13
OG0000867	13	13
OG0000868	13	13
OG0000869	13	13
OG0000870	13	13
OG0000871	13	13
OG0000872	13	13
OG0000873	12	12
OG0000874	13	13
OG0000875	13	13
OG0000876	13	13
OG0000877	13	13
OG0000878	13	13
OG0000879	13	13
OG0000880	13	13
OG0000881	13	13
OG0000882	13	13
OG0000883	13	13
OG0000884	13	13
OG0000885	13	13
OG0000886	13	13
OG0000887	13	13
OG0000888	13	13
OG0000889	13	13
OG0000890	13	13
OG0000891	12	12
OG0000892	13	13
OG0000893	13	13
OG0000894	13	13
OG0000895	13	13
OG0000896	13	13
OG0000897	13	13
OG0000898	12	12
OG0000899	12	12
OG0000900	13	13
OG0000901	12	12
OG0000902	13	13
OG0000903	13	13
OG0000904	13	13
OG0000905	12	12
OG0000906	12	12
OG0000907	13	13
OG0000908	12	12
OG0000909	12	12
OG0000910	12	12
OG0000911	13	13
OG0000912	13	13
OG0000913	13	13
OG0000914	13	13
OG0000915	13	13
OG0000916	13	13
OG0000917	13	13
OG0000918	13	13
OG0000919	13	13
OG0000920	13	13
OG0000921	13	13
OG0000922	13	13
OG0000923	13	13
OG0000924	13	13
OG0000925	13	13
OG0000926	13	13
OG0000927	13	13
OG0000928	13	13
OG0000929	13	13
OG0000930	13	13
OG0000931	13	13
OG0000932	11	11
OG0000933	12	12
OG0000934	11	11
OG0000935	12	12
OG0000936	11	11
OG0000937	12	12
OG0000938	12	12
OG0000939	12	12
OG0000940	12	12
OG0000941	12	12
OG0000942	12	12
OG0000943	12	12
OG0000944	11	11
OG0000945	12	12
OG0000946	10	10
OG0000947	12	12
OG0000948	12	12
OG0000949	12	12
OG0000950	12	12
OG0000951	12	12
OG0000952	11	11
OG0000953	12	12
OG0000954	11	11
OG0000955	11	11
OG0000956	12	12
OG0000957	12	12
OG0000958	11	11
OG0000959	12	12
OG0000960	12	12
OG0000961	12	12
OG0000962	10	10
OG0000963	11	11
OG0000964	12	12
OG0000965	12	12
OG0000966	12	12
OG0000967	11	11
OG0000968	12	12
OG0000969	11	11
OG0000970	11	11
OG0000971	12	12
OG0000972	12	12
OG0000973	12	12
OG0000974	12	12
OG0000975	12	12
OG0000976	11	11
OG0000977	12	12
OG0000978	12	12
OG0000979	12	12
OG0000980	11	11
OG0000981	12	12
OG0000982	11	11
OG0000983	12	12
OG0000984	11	11
OG0000985	12	12
OG0000986	12	12
OG0000987	12	12
OG0000988	12	12
OG0000989	11	11
OG0000990	11	11
OG0000991	12	12
OG0000992	12	12
OG0000993	12	12
OG0000994	12	12
OG0000995	12	12
OG0000996	12	12
OG0000997	12	12
OG0000998	12	12
OG0000999	12	12
OG0001000	11	11
OG0001001	12	12
OG0001002	11	11
OG0001003	12	12
OG0001004	12	12
OG0001005	12	12
OG0001006	12	12
OG0001007	12	12
OG0001008	12	12
OG0001009	11	11
OG0001010	12	12
OG0001011	12	12
OG0001012	12	12
OG0001013	12	12
OG0001014	11	11
OG0001015	12	12
OG0001016	12	12
OG0001017	12	12
OG0001018	12	12
OG0001019	11	11
OG0001020	12	12
OG0001021	12	12
OG0001022	12	12
OG0001023	12	12
OG0001024	12	12
OG0001025	12	12
OG0001026	11	11
OG0001027	11	11
OG0001028	12	12
OG0001029	11	11
OG0001030	12	12
OG0001031	12	12
OG0001032	11	11
OG0001033	11	11
OG0001034	11	11
OG0001035	12	12
OG0001036	12	12
OG0001037	12	12
OG0001038	12	12
OG0001039	12	12
OG0001040	12	12
OG0001041	12	12
OG0001042	12	12
OG0001043	12	12
OG0001044	12	12
OG0001045	12	12
OG0001046	12	12
OG0001047	12	12
OG0001048	12	12
OG0001049	12	12
OG0001050	12	12
OG0001051	12	12
OG0001052	12	12
OG0001053	10	10
OG0001054	11	11
OG0001055	11	11
OG0001056	10	10
OG0001057	9	9
OG0001058	10	10
OG0001059	9	9
OG0001060	11	11
OG0001061	11	11
OG0001062	10	10
OG0001063	10	10
OG0001064	11	11
OG0001065	10	10
OG0001066	11	11
OG0001067	11	11
OG0001068	10	10
OG0001069	10	10
OG0001070	11	11
OG0001071	10	10
OG0001072	10	10
OG0001073	11	11
OG0001074	11	11
OG0001075	11	11
OG0001076	11	11
OG0001077	11	11
OG0001078	11	11
OG0001079	11	11
OG0001080	10	10
OG0001081	11	11
OG0001082	11	11
OG0001083	11	11
OG0001084	11	11
OG0001085	11	11
OG0001086	10	10
OG0001087	10	10
OG0001088	11	11
OG0001089	11	11
OG0001090	11	11
OG0001091	11	11
OG0001092	10	10
OG0001093	11	11
OG0001094	10	10
OG0001095	11	11
OG0001096	11	11
OG0001097	10	10
OG0001098	11	11
OG0001099	10	10
OG0001100	10	10
OG0001101	11	11
OG0001102	10	10
OG0001103	11	11
OG0001104	11	11
OG0001105	11	11
OG0001106	11	11
OG0001107	11	11
OG0001108	11	11
OG0001109	11	11
OG0001110	11	11
OG0001111	11	11
OG0001112	10	10
OG0001113	11	11
OG0001114	11	11
OG0001115	11	11
OG0001116	11	11
OG0001117	11	11
OG0001118	10	10
OG0001119	11	11
OG0001120	11	11
OG0001121	11	11
OG0001122	11	11
OG0001123	11	11
OG0001124	10	10
OG0001125	11	11
OG0001126	11	11
OG0001127	11	11
OG0001128	11	11
OG0001129	10	10
OG0001130	11	11
OG0001131	11	11
OG0001132	10	10
OG0001133	11	11
OG0001134	10	10
OG0001135	11	11
OG0001136	11	11
OG0001137	11	11
OG0001138	11	11
OG0001139	11	11
OG0001140	11	11
OG0001141	10	10
OG0001142	11	11
OG0001143	11	11
OG0001144	10	10
OG0001145	10	10
OG0001146	11	11
OG0001147	11	11
OG0001148	11	11
OG0001149	10	10
OG0001150	11	11
OG0001151	11	11
OG0001152	11	11
OG0001153	11	11
OG0001154	11	11
OG0001155	11	11
OG0001156	10	10
OG0001157	11	11
OG0001158	10	10
OG0001159	11	11
OG0001160	11	11
OG0001161	11	11
OG0001162	11	11
OG0001163	10	10
OG0001164	11	11
OG0001165	10	10
OG0001166	11	11
OG0001167	10	10
OG0001168	11	11
OG0001169	10	10
OG0001170	10	10
OG0001171	10	10
OG0001172	10	10
OG0001173	10	10
OG0001174	10	10
OG0001175	10	10
OG0001176	10	10
OG0001177	10	10
OG0001178	11	11
OG0001179	11	11
OG0001180	11	11
OG0001181	11	11
OG0001182	11	11
OG0001183	11	11
OG0001184	11	11
OG0001185	11	11
OG0001186	11	11
OG0001187	11	11
OG0001188	11	11
OG0001189	11	11
OG0001190	11	11
OG0001191	11	11
OG0001192	11	11
OG0001193	11	11
OG0001194	11	11
OG0001195	11	11
OG0001196	11	11
OG0001197	11	11
OG0001198	11	11
OG0001199	11	11
OG0001200	10	10
OG0001201	10	10
OG0001202	10	10
OG0001203	10	10
OG0001204	10	10
OG0001205	10	10
OG0001206	10	10
OG0001207	9	9
OG0001208	10	10
OG0001209	10	10
OG0001210	10	10
OG0001211	10	10
OG0001212	10	10
OG0001213	8	8
OG0001214	9	9
OG0001215	10	10
OG0001216	9	9
OG0001217	9	9
OG0001218	9	9
OG0001219	9	9
OG0001220	9	9
OG0001221	10	10
OG0001222	9	9
OG0001223	10	10
OG0001224	9	9
OG0001225	10	10
OG0001226	9	9
OG0001227	9	9
OG0001228	9	9
OG0001229	10	10
OG0001230	9	9
OG0001231	9	9
OG0001232	10	10
OG0001233	9	9
OG0001234	9	9
OG0001235	10	10
OG0001236	8	8
OG0001237	9	9
OG0001238	9	9
OG0001239	9	9
OG0001240	10	10
OG0001241	10	10
OG0001242	10	10
OG0001243	9	9
OG0001244	10	10
OG0001245	10	10
OG0001246	10	10
OG0001247	10	10
OG0001248	9	9
OG0001249	10	10
OG0001250	9	9
OG0001251	9	9
OG0001252	9	9
OG0001253	10	10
OG0001254	9	9
OG0001255	10	10
OG0001256	10	10
OG0001257	10	10
OG0001258	9	9
OG0001259	9	9
OG0001260	10	10
OG0001261	10	10
OG0001262	10	10
OG0001263	10	10
OG0001264	9	9
OG0001265	10	10
OG0001266	9	9
OG0001267	10	10
OG0001268	10	10
OG0001269	10	10
OG0001270	9	9
OG0001271	10	10
OG0001272	9	9
OG0001273	8	8
OG0001274	10	10
OG0001275	10	10
OG0001276	10	10
OG0001277	9	9
OG0001278	10	10
OG0001279	10	10
OG0001280	10	10
OG0001281	10	10
OG0001282	10	10
OG0001283	10	10
OG0001284	10	10
OG0001285	9	9
OG0001286	10	10
OG0001287	10	10
OG0001288	9	9
OG0001289	10	10
OG0001290	10	10
OG0001291	10	10
OG0001292	10	10
OG0001293	10	10
OG0001294	9	9
OG0001295	10	10
OG0001296	10	10
OG0001297	10	10
OG0001298	10	10
OG0001299	10	10
OG0001300	10	10
OG0001301	10	10
OG0001302	10	10
OG0001303	10	10
OG0001304	10	10
OG0001305	10	10
OG0001306	9	9
OG0001307	10	10
OG0001308	10	10
OG0001309	10	10
OG0001310	9	9
OG0001311	9	9
OG0001312	10	10
OG0001313	9	9
OG0001314	9	9
OG0001315	9	9
OG0001316	9	9
OG0001317	9	9
OG0001318	10	10
OG0001319	10	10
OG0001320	10	10
OG0001321	10	10
OG0001322	9	9
OG0001323	9	9
OG0001324	10	10
OG0001325	9	9
OG0001326	9	9
OG0001327	10	10
OG0001328	10	10
OG0001329	10	10
OG0001330	10	10
OG0001331	9	9
OG0001332	9	9
OG0001333	9	9
OG0001334	9	9
OG0001335	8	8
OG0001336	10	10
OG0001337	9	9
OG0001338	9	9
OG0001339	9	9
OG0001340	9	9
OG0001341	9	9
OG0001342	9	9
OG0001343	9	9
OG0001344	9	9
OG0001345	10	10
OG0001346	8	8
OG0001347	9	9
OG0001348	9	9
OG0001349	9	9
OG0001350	10	10
OG0001351	10	10
OG0001352	10	10
OG0001353	10	10
OG0001354	10	10
OG0001355	10	10
OG0001356	10	10
OG0001357	10	10
OG0001358	10	10
OG0001359	10	10
OG0001360	10	10
OG0001361	10	10
OG0001362	10	10
OG0001363	10	10
OG0001364	10	10
OG0001365	10	10
OG0001366	10	10
OG0001367	10	10
OG0001368	10	10
OG0001369	10	10
OG0001370	10	10
OG0001371	10	10
OG0001372	10	10
OG0001373	10	10
OG0001374	10	10
OG0001375	10	10
OG0001376	9	9
OG0001377	9	9
OG0001378	8	8
OG0001379	9	9
OG0001380	9	9
OG0001381	8	8
OG0001382	9	9
OG0001383	9	9
OG0001384	9	9
OG0001385	9	9
OG0001386	7	7
OG0001387	9	9
OG0001388	9	9
OG0001389	9	9
OG0001390	8	8
OG0001391	9	9
OG0001392	8	8
OG0001393	9	9
OG0001394	9	9
