Orthogroup	Mcap.protein	Pocillopora_acuta_PredGenes_experimental_v1.transcripts.pep
OG0023312	Montipora_capitata_PredGene_adi2mcaRNA17322_R0	
OG0023313	Montipora_capitata_PredGene_adi2mcaRNA17365_R0	
OG0023314	Montipora_capitata_PredGene_adi2mcaRNA17365_R2	
OG0023315	Montipora_capitata_PredGene_adi2mcaRNA17365_R3	
OG0023316	Montipora_capitata_PredGene_adi2mcaRNA17365_R4	
OG0023317	Montipora_capitata_PredGene_adi2mcaRNA17365_R9	
OG0023318	Montipora_capitata_PredGene_adi2mcaRNA17384_R1	
OG0023319	Montipora_capitata_PredGene_adi2mcaRNA17412_R0	
OG0023320	Montipora_capitata_PredGene_adi2mcaRNA17442_R0	
OG0023321	Montipora_capitata_PredGene_adi2mcaRNA17557_R0	
OG0023322	Montipora_capitata_PredGene_adi2mcaRNA17707_R9	
OG0023323	Montipora_capitata_PredGene_adi2mcaRNA17730_R6	
OG0023324	Montipora_capitata_PredGene_adi2mcaRNA1775_R0	
OG0023325	Montipora_capitata_PredGene_adi2mcaRNA17829_R0	
OG0023326	Montipora_capitata_PredGene_adi2mcaRNA17864_R1	
OG0023327	Montipora_capitata_PredGene_adi2mcaRNA17959_R1	
OG0023328	Montipora_capitata_PredGene_adi2mcaRNA1797_R2	
OG0023329	Montipora_capitata_PredGene_adi2mcaRNA179_R0	
OG0023330	Montipora_capitata_PredGene_adi2mcaRNA18011_R5	
OG0023331	Montipora_capitata_PredGene_adi2mcaRNA18056_R1	
OG0023332	Montipora_capitata_PredGene_adi2mcaRNA18059_R0	
OG0023333	Montipora_capitata_PredGene_adi2mcaRNA18175_R1	
OG0023334	Montipora_capitata_PredGene_adi2mcaRNA18288_R5	
OG0023335	Montipora_capitata_PredGene_adi2mcaRNA18307_R0	
OG0023336	Montipora_capitata_PredGene_adi2mcaRNA18329_R0	
OG0023337	Montipora_capitata_PredGene_adi2mcaRNA18440_R1	
OG0023338	Montipora_capitata_PredGene_adi2mcaRNA18498_R0	
OG0023339	Montipora_capitata_PredGene_adi2mcaRNA18544_R0	
OG0023340	Montipora_capitata_PredGene_adi2mcaRNA18600_R1	
OG0023341	Montipora_capitata_PredGene_adi2mcaRNA18600_R9	
OG0023342	Montipora_capitata_PredGene_adi2mcaRNA18601_R0	
OG0023343	Montipora_capitata_PredGene_adi2mcaRNA18654_R0	
OG0023344	Montipora_capitata_PredGene_adi2mcaRNA18663_R1	
OG0023345	Montipora_capitata_PredGene_adi2mcaRNA1869_R1	
OG0023346	Montipora_capitata_PredGene_adi2mcaRNA18722_R1	
OG0023347	Montipora_capitata_PredGene_adi2mcaRNA18756_R1	
OG0023348	Montipora_capitata_PredGene_adi2mcaRNA18864_R8	
OG0023349	Montipora_capitata_PredGene_adi2mcaRNA18882_R1	
OG0023350	Montipora_capitata_PredGene_adi2mcaRNA18897_R2	
OG0023351	Montipora_capitata_PredGene_adi2mcaRNA1889_R0	
OG0023352	Montipora_capitata_PredGene_adi2mcaRNA18925_R1	
OG0023353	Montipora_capitata_PredGene_adi2mcaRNA18_R1	
OG0023354	Montipora_capitata_PredGene_adi2mcaRNA19015_R0	
OG0023355	Montipora_capitata_PredGene_adi2mcaRNA19015_R2	
OG0023356	Montipora_capitata_PredGene_adi2mcaRNA19029_R3	
OG0023357	Montipora_capitata_PredGene_adi2mcaRNA19031_R3	
OG0023358	Montipora_capitata_PredGene_adi2mcaRNA19031_R6	
OG0023359	Montipora_capitata_PredGene_adi2mcaRNA19051_R8	
OG0023360	Montipora_capitata_PredGene_adi2mcaRNA1906_R2	
OG0023361	Montipora_capitata_PredGene_adi2mcaRNA19174_R3	
OG0023362	Montipora_capitata_PredGene_adi2mcaRNA19262_R1	
OG0023363	Montipora_capitata_PredGene_adi2mcaRNA192_R1	
OG0023364	Montipora_capitata_PredGene_adi2mcaRNA19502_R1	
OG0023365	Montipora_capitata_PredGene_adi2mcaRNA19517_R2	
OG0023366	Montipora_capitata_PredGene_adi2mcaRNA1954_R1	
OG0023367	Montipora_capitata_PredGene_adi2mcaRNA19555_R1	
OG0023368	Montipora_capitata_PredGene_adi2mcaRNA19558_R1	
OG0023369	Montipora_capitata_PredGene_adi2mcaRNA19566_R3	
OG0023370	Montipora_capitata_PredGene_adi2mcaRNA19619_R1	
OG0023371	Montipora_capitata_PredGene_adi2mcaRNA19686_R1	
OG0023372	Montipora_capitata_PredGene_adi2mcaRNA19686_R2	
OG0023373	Montipora_capitata_PredGene_adi2mcaRNA19686_R3	
OG0023374	Montipora_capitata_PredGene_adi2mcaRNA19686_R6	
OG0023375	Montipora_capitata_PredGene_adi2mcaRNA19686_R7	
OG0023376	Montipora_capitata_PredGene_adi2mcaRNA19686_R8	
OG0023377	Montipora_capitata_PredGene_adi2mcaRNA19804_R0	
OG0023378	Montipora_capitata_PredGene_adi2mcaRNA19852_R1	
OG0023379	Montipora_capitata_PredGene_adi2mcaRNA19855_R0	
OG0023380	Montipora_capitata_PredGene_adi2mcaRNA19886_R2	
OG0023381	Montipora_capitata_PredGene_adi2mcaRNA1989_R1	
OG0023382	Montipora_capitata_PredGene_adi2mcaRNA19905_R2	
OG0023383	Montipora_capitata_PredGene_adi2mcaRNA19992_R1	
OG0023384	Montipora_capitata_PredGene_adi2mcaRNA20027_R6	
OG0023385	Montipora_capitata_PredGene_adi2mcaRNA20042_R1	
OG0023386	Montipora_capitata_PredGene_adi2mcaRNA20149_R1	
OG0023387	Montipora_capitata_PredGene_adi2mcaRNA20167_R0	
OG0023388	Montipora_capitata_PredGene_adi2mcaRNA20171_R3	
OG0023389	Montipora_capitata_PredGene_adi2mcaRNA2026_R0	
OG0023390	Montipora_capitata_PredGene_adi2mcaRNA2031_R5	
OG0023391	Montipora_capitata_PredGene_adi2mcaRNA20360_R0	
OG0023392	Montipora_capitata_PredGene_adi2mcaRNA20384_R0	
OG0023393	Montipora_capitata_PredGene_adi2mcaRNA20425_R2	
OG0023394	Montipora_capitata_PredGene_adi2mcaRNA20515_R0	
OG0023395	Montipora_capitata_PredGene_adi2mcaRNA20757_R0	
OG0023396	Montipora_capitata_PredGene_adi2mcaRNA20786_R0	
OG0023397	Montipora_capitata_PredGene_adi2mcaRNA20870_R0	
OG0023398	Montipora_capitata_PredGene_adi2mcaRNA21014_R0	
OG0023399	Montipora_capitata_PredGene_adi2mcaRNA21062_R2	
OG0023400	Montipora_capitata_PredGene_adi2mcaRNA21062_R3	
OG0023401	Montipora_capitata_PredGene_adi2mcaRNA21117_R8	
OG0023402	Montipora_capitata_PredGene_adi2mcaRNA21145_R5	
OG0023403	Montipora_capitata_PredGene_adi2mcaRNA21145_R8	
OG0023404	Montipora_capitata_PredGene_adi2mcaRNA21145_R9	
OG0023405	Montipora_capitata_PredGene_adi2mcaRNA21163_R1	
OG0023406	Montipora_capitata_PredGene_adi2mcaRNA21262_R2	
OG0023407	Montipora_capitata_PredGene_adi2mcaRNA21286_R0	
OG0023408	Montipora_capitata_PredGene_adi2mcaRNA21290_R0	
OG0023409	Montipora_capitata_PredGene_adi2mcaRNA2147_R0	
OG0023410	Montipora_capitata_PredGene_adi2mcaRNA2149_R0	
OG0023411	Montipora_capitata_PredGene_adi2mcaRNA21582_R0	
OG0023412	Montipora_capitata_PredGene_adi2mcaRNA21588_R0	
OG0023413	Montipora_capitata_PredGene_adi2mcaRNA21634_R0	
OG0023414	Montipora_capitata_PredGene_adi2mcaRNA21676_R1	
OG0023415	Montipora_capitata_PredGene_adi2mcaRNA21681_R1	
OG0023416	Montipora_capitata_PredGene_adi2mcaRNA21682_R1	
OG0023417	Montipora_capitata_PredGene_adi2mcaRNA21713_R1	
OG0023418	Montipora_capitata_PredGene_adi2mcaRNA21801_R0	
OG0023419	Montipora_capitata_PredGene_adi2mcaRNA22012_R0	
OG0023420	Montipora_capitata_PredGene_adi2mcaRNA22015_R1	
OG0023421	Montipora_capitata_PredGene_adi2mcaRNA22029_R0	
OG0023422	Montipora_capitata_PredGene_adi2mcaRNA22090_R0	
OG0023423	Montipora_capitata_PredGene_adi2mcaRNA22094_R2	
OG0023424	Montipora_capitata_PredGene_adi2mcaRNA22159_R8	
OG0023425	Montipora_capitata_PredGene_adi2mcaRNA22214_R0	
OG0023426	Montipora_capitata_PredGene_adi2mcaRNA22275_R2	
OG0023427	Montipora_capitata_PredGene_adi2mcaRNA22288_R4	
OG0023428	Montipora_capitata_PredGene_adi2mcaRNA22450_R1	
OG0023429	Montipora_capitata_PredGene_adi2mcaRNA22536_R0	
OG0023430	Montipora_capitata_PredGene_adi2mcaRNA22551_R1	
OG0023431	Montipora_capitata_PredGene_adi2mcaRNA22574_R7	
OG0023432	Montipora_capitata_PredGene_adi2mcaRNA22587_R0	
OG0023433	Montipora_capitata_PredGene_adi2mcaRNA22656_R0	
OG0023434	Montipora_capitata_PredGene_adi2mcaRNA22656_R4	
OG0023435	Montipora_capitata_PredGene_adi2mcaRNA22656_R5	
OG0023436	Montipora_capitata_PredGene_adi2mcaRNA22656_R6	
OG0023437	Montipora_capitata_PredGene_adi2mcaRNA22823_R0	
OG0023438	Montipora_capitata_PredGene_adi2mcaRNA22823_R1	
OG0023439	Montipora_capitata_PredGene_adi2mcaRNA22823_R4	
OG0023440	Montipora_capitata_PredGene_adi2mcaRNA23004_R0	
OG0023441	Montipora_capitata_PredGene_adi2mcaRNA23028_R1	
OG0023442	Montipora_capitata_PredGene_adi2mcaRNA23059_R0	
OG0023443	Montipora_capitata_PredGene_adi2mcaRNA23128_R8	
OG0023444	Montipora_capitata_PredGene_adi2mcaRNA23140_R3	
OG0023445	Montipora_capitata_PredGene_adi2mcaRNA23143_R0	
OG0023446	Montipora_capitata_PredGene_adi2mcaRNA2321_R1	
OG0023447	Montipora_capitata_PredGene_adi2mcaRNA23234_R0	
OG0023448	Montipora_capitata_PredGene_adi2mcaRNA23317_R1	
OG0023449	Montipora_capitata_PredGene_adi2mcaRNA23359_R6	
OG0023450	Montipora_capitata_PredGene_adi2mcaRNA23362_R0	
OG0023451	Montipora_capitata_PredGene_adi2mcaRNA23368_R0	
OG0023452	Montipora_capitata_PredGene_adi2mcaRNA23451_R0	
OG0023453	Montipora_capitata_PredGene_adi2mcaRNA2350_R0	
OG0023454	Montipora_capitata_PredGene_adi2mcaRNA23524_R0	
OG0023455	Montipora_capitata_PredGene_adi2mcaRNA23541_R1	
OG0023456	Montipora_capitata_PredGene_adi2mcaRNA23656_R0	
OG0023457	Montipora_capitata_PredGene_adi2mcaRNA23846_R0	
OG0023458	Montipora_capitata_PredGene_adi2mcaRNA23933_R1	
OG0023459	Montipora_capitata_PredGene_adi2mcaRNA23987_R1	
OG0023460	Montipora_capitata_PredGene_adi2mcaRNA2401_R0	
OG0023461	Montipora_capitata_PredGene_adi2mcaRNA24086_R2	
OG0023462	Montipora_capitata_PredGene_adi2mcaRNA24096_R5	
OG0023463	Montipora_capitata_PredGene_adi2mcaRNA2413_R0	
OG0023464	Montipora_capitata_PredGene_adi2mcaRNA24145_R0	
OG0023465	Montipora_capitata_PredGene_adi2mcaRNA24257_R2	
OG0023466	Montipora_capitata_PredGene_adi2mcaRNA24278_R1	
OG0023467	Montipora_capitata_PredGene_adi2mcaRNA24296_R0	
OG0023468	Montipora_capitata_PredGene_adi2mcaRNA24317_R5	
OG0023469	Montipora_capitata_PredGene_adi2mcaRNA24330_R2	
OG0023470	Montipora_capitata_PredGene_adi2mcaRNA24395_R1	
OG0023471	Montipora_capitata_PredGene_adi2mcaRNA24478_R1	
OG0023472	Montipora_capitata_PredGene_adi2mcaRNA24534_R0	
OG0023473	Montipora_capitata_PredGene_adi2mcaRNA24607_R0	
OG0023474	Montipora_capitata_PredGene_adi2mcaRNA24690_R0	
OG0023475	Montipora_capitata_PredGene_adi2mcaRNA24698_R1	
OG0023476	Montipora_capitata_PredGene_adi2mcaRNA24717_R0	
OG0023477	Montipora_capitata_PredGene_adi2mcaRNA2477_R2	
OG0023478	Montipora_capitata_PredGene_adi2mcaRNA24893_R3	
OG0023479	Montipora_capitata_PredGene_adi2mcaRNA24936_R1	
OG0023480	Montipora_capitata_PredGene_adi2mcaRNA25034_R1	
OG0023481	Montipora_capitata_PredGene_adi2mcaRNA25097_R9	
OG0023482	Montipora_capitata_PredGene_adi2mcaRNA25130_R0	
OG0023483	Montipora_capitata_PredGene_adi2mcaRNA25193_R0	
OG0023484	Montipora_capitata_PredGene_adi2mcaRNA25279_R0	
OG0023485	Montipora_capitata_PredGene_adi2mcaRNA25380_R1	
OG0023486	Montipora_capitata_PredGene_adi2mcaRNA25401_R0	
OG0023487	Montipora_capitata_PredGene_adi2mcaRNA25409_R1	
OG0023488	Montipora_capitata_PredGene_adi2mcaRNA25453_R0	
OG0023489	Montipora_capitata_PredGene_adi2mcaRNA25482_R1	
OG0023490	Montipora_capitata_PredGene_adi2mcaRNA25482_R7	
OG0023491	Montipora_capitata_PredGene_adi2mcaRNA25499_R5	
OG0023492	Montipora_capitata_PredGene_adi2mcaRNA25523_R0	
OG0023493	Montipora_capitata_PredGene_adi2mcaRNA25527_R5	
OG0023494	Montipora_capitata_PredGene_adi2mcaRNA255_R0	
OG0023495	Montipora_capitata_PredGene_adi2mcaRNA25617_R3	
OG0023496	Montipora_capitata_PredGene_adi2mcaRNA25682_R1	
OG0023497	Montipora_capitata_PredGene_adi2mcaRNA25763_R8	
OG0023498	Montipora_capitata_PredGene_adi2mcaRNA25790_R1	
OG0023499	Montipora_capitata_PredGene_adi2mcaRNA25822_R1	
OG0023500	Montipora_capitata_PredGene_adi2mcaRNA25826_R1	
OG0023501	Montipora_capitata_PredGene_adi2mcaRNA25917_R1	
OG0023502	Montipora_capitata_PredGene_adi2mcaRNA26095_R3	
OG0023503	Montipora_capitata_PredGene_adi2mcaRNA26115_R0	
OG0023504	Montipora_capitata_PredGene_adi2mcaRNA26168_R0	
OG0023505	Montipora_capitata_PredGene_adi2mcaRNA26288_R1	
OG0023506	Montipora_capitata_PredGene_adi2mcaRNA26401_R0	
OG0023507	Montipora_capitata_PredGene_adi2mcaRNA26426_R1	
OG0023508	Montipora_capitata_PredGene_adi2mcaRNA26503_R2	
OG0023509	Montipora_capitata_PredGene_adi2mcaRNA26508_R7	
OG0023510	Montipora_capitata_PredGene_adi2mcaRNA26617_R2	
OG0023511	Montipora_capitata_PredGene_adi2mcaRNA26631_R9	
OG0023512	Montipora_capitata_PredGene_adi2mcaRNA26831_R1	
OG0023513	Montipora_capitata_PredGene_adi2mcaRNA26847_R8	
OG0023514	Montipora_capitata_PredGene_adi2mcaRNA26863_R1	
OG0023515	Montipora_capitata_PredGene_adi2mcaRNA26910_R1	
OG0023516	Montipora_capitata_PredGene_adi2mcaRNA26927_R0	
OG0023517	Montipora_capitata_PredGene_adi2mcaRNA26986_R1	
OG0023518	Montipora_capitata_PredGene_adi2mcaRNA26986_R5	
OG0023519	Montipora_capitata_PredGene_adi2mcaRNA26986_R9	
OG0023520	Montipora_capitata_PredGene_adi2mcaRNA27064_R0	
OG0023521	Montipora_capitata_PredGene_adi2mcaRNA27105_R0	
OG0023522	Montipora_capitata_PredGene_adi2mcaRNA27156_R0	
OG0023523	Montipora_capitata_PredGene_adi2mcaRNA27187_R1	
OG0023524	Montipora_capitata_PredGene_adi2mcaRNA27191_R0	
OG0023525	Montipora_capitata_PredGene_adi2mcaRNA27196_R2	
OG0023526	Montipora_capitata_PredGene_adi2mcaRNA27270_R2	
OG0023527	Montipora_capitata_PredGene_adi2mcaRNA27271_R1	
OG0023528	Montipora_capitata_PredGene_adi2mcaRNA27321_R1	
OG0023529	Montipora_capitata_PredGene_adi2mcaRNA27327_R0	
OG0023530	Montipora_capitata_PredGene_adi2mcaRNA27422_R6	
OG0023531	Montipora_capitata_PredGene_adi2mcaRNA27445_R0	
OG0023532	Montipora_capitata_PredGene_adi2mcaRNA27457_R0	
OG0023533	Montipora_capitata_PredGene_adi2mcaRNA27471_R6	
OG0023534	Montipora_capitata_PredGene_adi2mcaRNA27484_R1	
OG0023535	Montipora_capitata_PredGene_adi2mcaRNA27544_R1	
OG0023536	Montipora_capitata_PredGene_adi2mcaRNA2772_R1	
OG0023537	Montipora_capitata_PredGene_adi2mcaRNA27766_R0	
OG0023538	Montipora_capitata_PredGene_adi2mcaRNA27790_R0	
OG0023539	Montipora_capitata_PredGene_adi2mcaRNA27858_R0	
OG0023540	Montipora_capitata_PredGene_adi2mcaRNA27902_R0	
OG0023541	Montipora_capitata_PredGene_adi2mcaRNA2792_R1	
OG0023542	Montipora_capitata_PredGene_adi2mcaRNA2799_R1	
OG0023543	Montipora_capitata_PredGene_adi2mcaRNA28042_R1	
OG0023544	Montipora_capitata_PredGene_adi2mcaRNA28042_R2	
OG0023545	Montipora_capitata_PredGene_adi2mcaRNA28042_R8	
OG0023546	Montipora_capitata_PredGene_adi2mcaRNA28042_R9	
OG0023547	Montipora_capitata_PredGene_adi2mcaRNA28047_R7	
OG0023548	Montipora_capitata_PredGene_adi2mcaRNA28048_R5	
OG0023549	Montipora_capitata_PredGene_adi2mcaRNA28108_R8	
OG0023550	Montipora_capitata_PredGene_adi2mcaRNA28118_R0	
OG0023551	Montipora_capitata_PredGene_adi2mcaRNA28124_R0	
OG0023552	Montipora_capitata_PredGene_adi2mcaRNA28247_R2	
OG0023553	Montipora_capitata_PredGene_adi2mcaRNA28350_R0	
OG0023554	Montipora_capitata_PredGene_adi2mcaRNA28387_R0	
OG0023555	Montipora_capitata_PredGene_adi2mcaRNA28487_R0	
OG0023556	Montipora_capitata_PredGene_adi2mcaRNA28533_R3	
OG0023557	Montipora_capitata_PredGene_adi2mcaRNA28539_R0	
OG0023558	Montipora_capitata_PredGene_adi2mcaRNA28667_R0	
OG0023559	Montipora_capitata_PredGene_adi2mcaRNA28741_R6	
OG0023560	Montipora_capitata_PredGene_adi2mcaRNA28754_R0	
OG0023561	Montipora_capitata_PredGene_adi2mcaRNA28756_R6	
OG0023562	Montipora_capitata_PredGene_adi2mcaRNA28777_R3	
