Orthogroup	Mcap.protein	Pocillopora_acuta_PredGenes_experimental_v1.transcripts.pep	Total
OG0000254	29	0	29
OG0000255	29	0	29
OG0000256	29	0	29
OG0000257	29	0	29
OG0000258	29	0	29
OG0000259	27	2	29
OG0000260	29	0	29
OG0000261	29	0	29
OG0000262	27	2	29
OG0000263	28	1	29
OG0000264	29	0	29
OG0000265	29	0	29
OG0000266	29	0	29
OG0000267	29	0	29
OG0000268	29	0	29
OG0000269	28	1	29
OG0000270	29	0	29
OG0000271	29	0	29
OG0000272	29	0	29
OG0000273	29	0	29
OG0000274	1	28	29
OG0000275	2	26	28
OG0000276	28	0	28
OG0000277	27	1	28
OG0000278	28	0	28
OG0000279	28	0	28
OG0000280	28	0	28
OG0000281	28	0	28
OG0000282	24	4	28
OG0000283	28	0	28
OG0000284	28	0	28
OG0000285	28	0	28
OG0000286	28	0	28
OG0000287	27	1	28
OG0000288	28	0	28
OG0000289	28	0	28
OG0000290	28	0	28
OG0000291	28	0	28
OG0000292	28	0	28
OG0000293	28	0	28
OG0000294	3	25	28
OG0000295	0	28	28
OG0000296	0	28	28
OG0000297	27	0	27
OG0000298	27	0	27
OG0000299	27	0	27
OG0000300	27	0	27
OG0000301	27	0	27
OG0000302	27	0	27
OG0000303	27	0	27
OG0000304	24	3	27
OG0000305	27	0	27
OG0000306	26	1	27
OG0000307	27	0	27
OG0000308	26	1	27
OG0000309	27	0	27
OG0000310	27	0	27
OG0000311	27	0	27
OG0000312	27	0	27
OG0000313	26	1	27
OG0000314	27	0	27
OG0000315	0	27	27
OG0000316	0	27	27
OG0000317	0	27	27
OG0000318	0	27	27
OG0000319	0	27	27
OG0000320	0	27	27
OG0000321	26	0	26
OG0000322	26	0	26
OG0000323	25	1	26
OG0000324	26	0	26
OG0000325	26	0	26
OG0000326	26	0	26
OG0000327	26	0	26
OG0000328	26	0	26
OG0000329	26	0	26
OG0000330	25	1	26
OG0000331	5	21	26
OG0000332	26	0	26
OG0000333	25	1	26
OG0000334	26	0	26
OG0000335	26	0	26
OG0000336	26	0	26
OG0000337	26	0	26
OG0000338	26	0	26
OG0000339	26	0	26
OG0000340	26	0	26
OG0000341	0	26	26
OG0000342	0	26	26
OG0000343	24	1	25
OG0000344	24	1	25
OG0000345	24	1	25
OG0000346	25	0	25
OG0000347	25	0	25
OG0000348	25	0	25
OG0000349	25	0	25
OG0000350	24	1	25
OG0000351	25	0	25
OG0000352	24	1	25
OG0000353	25	0	25
OG0000354	25	0	25
OG0000355	25	0	25
OG0000356	1	24	25
OG0000357	25	0	25
OG0000358	25	0	25
OG0000359	25	0	25
OG0000360	25	0	25
OG0000361	25	0	25
OG0000362	0	25	25
OG0000363	0	25	25
OG0000364	23	1	24
OG0000365	20	4	24
OG0000366	24	0	24
OG0000367	22	2	24
OG0000368	24	0	24
OG0000369	24	0	24
OG0000370	24	0	24
OG0000371	24	0	24
OG0000372	24	0	24
OG0000373	24	0	24
OG0000374	24	0	24
OG0000375	24	0	24
OG0000376	23	1	24
OG0000377	24	0	24
OG0000378	23	1	24
OG0000379	24	0	24
OG0000380	21	3	24
OG0000381	24	0	24
OG0000382	18	6	24
OG0000383	24	0	24
OG0000384	24	0	24
OG0000385	24	0	24
OG0000386	24	0	24
OG0000387	24	0	24
OG0000388	24	0	24
OG0000389	0	24	24
OG0000390	0	24	24
OG0000391	0	24	24
OG0000392	0	24	24
OG0000393	23	0	23
OG0000394	23	0	23
OG0000395	20	3	23
OG0000396	23	0	23
OG0000397	1	22	23
OG0000398	23	0	23
OG0000399	21	2	23
OG0000400	23	0	23
OG0000401	22	1	23
OG0000402	23	0	23
OG0000403	23	0	23
OG0000404	23	0	23
OG0000405	22	1	23
OG0000406	23	0	23
OG0000407	23	0	23
OG0000408	23	0	23
OG0000409	22	1	23
OG0000410	22	1	23
OG0000411	23	0	23
OG0000412	23	0	23
OG0000413	23	0	23
OG0000414	23	0	23
OG0000415	23	0	23
OG0000416	23	0	23
OG0000417	21	2	23
OG0000418	23	0	23
OG0000419	1	22	23
OG0000420	1	22	23
OG0000421	0	23	23
OG0000422	0	23	23
OG0000423	0	23	23
OG0000424	0	23	23
OG0000425	0	23	23
OG0000426	22	0	22
OG0000427	22	0	22
OG0000428	22	0	22
OG0000429	22	0	22
OG0000430	22	0	22
OG0000431	22	0	22
OG0000432	22	0	22
OG0000433	22	0	22
OG0000434	22	0	22
OG0000435	22	0	22
OG0000436	1	21	22
OG0000437	21	1	22
OG0000438	22	0	22
OG0000439	22	0	22
OG0000440	22	0	22
OG0000441	22	0	22
OG0000442	22	0	22
OG0000443	22	0	22
OG0000444	21	1	22
OG0000445	22	0	22
OG0000446	22	0	22
OG0000447	22	0	22
OG0000448	21	1	22
OG0000449	22	0	22
OG0000450	22	0	22
OG0000451	21	1	22
OG0000452	22	0	22
OG0000453	22	0	22
OG0000454	2	20	22
OG0000455	0	22	22
OG0000456	0	22	22
OG0000457	21	0	21
OG0000458	21	0	21
OG0000459	20	1	21
OG0000460	21	0	21
OG0000461	21	0	21
OG0000462	19	2	21
OG0000463	21	0	21
OG0000464	18	3	21
OG0000465	21	0	21
OG0000466	21	0	21
OG0000467	21	0	21
OG0000468	21	0	21
OG0000469	21	0	21
OG0000470	20	1	21
OG0000471	21	0	21
OG0000472	21	0	21
OG0000473	19	2	21
OG0000474	21	0	21
OG0000475	21	0	21
OG0000476	21	0	21
OG0000477	1	20	21
OG0000478	21	0	21
OG0000479	20	1	21
OG0000480	21	0	21
OG0000481	21	0	21
OG0000482	1	20	21
OG0000483	21	0	21
OG0000484	0	21	21
OG0000485	0	21	21
OG0000486	20	0	20
OG0000487	20	0	20
OG0000488	20	0	20
OG0000489	20	0	20
OG0000490	20	0	20
OG0000491	16	4	20
OG0000492	20	0	20
OG0000493	20	0	20
OG0000494	20	0	20
OG0000495	20	0	20
OG0000496	19	1	20
OG0000497	20	0	20
OG0000498	20	0	20
OG0000499	19	1	20
OG0000500	20	0	20
OG0000501	20	0	20
OG0000502	20	0	20
OG0000503	20	0	20
OG0000504	19	1	20
OG0000505	20	0	20
OG0000506	20	0	20
OG0000507	19	1	20
OG0000508	19	1	20
OG0000509	20	0	20
OG0000510	20	0	20
OG0000511	20	0	20
OG0000512	20	0	20
OG0000513	20	0	20
OG0000514	20	0	20
OG0000515	20	0	20
OG0000516	20	0	20
OG0000517	19	1	20
OG0000518	20	0	20
OG0000519	20	0	20
OG0000520	19	1	20
OG0000521	20	0	20
OG0000522	20	0	20
OG0000523	20	0	20
OG0000524	1	19	20
OG0000525	0	20	20
OG0000526	0	20	20
OG0000527	0	20	20
OG0000528	0	20	20
OG0000529	0	20	20
OG0000530	0	20	20
OG0000531	0	20	20
OG0000532	19	0	19
OG0000533	19	0	19
OG0000534	19	0	19
OG0000535	19	0	19
OG0000536	19	0	19
OG0000537	19	0	19
OG0000538	19	0	19
OG0000539	19	0	19
OG0000540	19	0	19
OG0000541	19	0	19
OG0000542	19	0	19
OG0000543	19	0	19
OG0000544	19	0	19
OG0000545	19	0	19
OG0000546	19	0	19
OG0000547	19	0	19
OG0000548	19	0	19
OG0000549	19	0	19
OG0000550	19	0	19
OG0000551	19	0	19
OG0000552	19	0	19
OG0000553	19	0	19
OG0000554	19	0	19
OG0000555	19	0	19
OG0000556	19	0	19
OG0000557	19	0	19
OG0000558	19	0	19
OG0000559	19	0	19
OG0000560	2	17	19
OG0000561	19	0	19
OG0000562	19	0	19
OG0000563	19	0	19
OG0000564	19	0	19
OG0000565	0	19	19
OG0000566	0	19	19
OG0000567	0	19	19
OG0000568	0	19	19
OG0000569	0	19	19
OG0000570	0	19	19
OG0000571	0	19	19
OG0000572	0	19	19
OG0000573	0	19	19
OG0000574	0	19	19
OG0000575	0	19	19
OG0000576	18	0	18
OG0000577	18	0	18
OG0000578	18	0	18
OG0000579	18	0	18
OG0000580	18	0	18
OG0000581	16	2	18
OG0000582	17	1	18
OG0000583	17	1	18
OG0000584	17	1	18
OG0000585	18	0	18
OG0000586	2	16	18
OG0000587	18	0	18
OG0000588	18	0	18
OG0000589	18	0	18
OG0000590	17	1	18
OG0000591	18	0	18
OG0000592	1	17	18
OG0000593	17	1	18
OG0000594	18	0	18
OG0000595	18	0	18
OG0000596	18	0	18
OG0000597	16	2	18
OG0000598	18	0	18
OG0000599	18	0	18
OG0000600	18	0	18
OG0000601	18	0	18
OG0000602	17	1	18
OG0000603	18	0	18
OG0000604	18	0	18
OG0000605	18	0	18
OG0000606	18	0	18
OG0000607	18	0	18
OG0000608	18	0	18
OG0000609	18	0	18
OG0000610	16	2	18
OG0000611	18	0	18
OG0000612	18	0	18
OG0000613	18	0	18
OG0000614	18	0	18
OG0000615	2	16	18
OG0000616	1	17	18
OG0000617	1	17	18
OG0000618	0	18	18
OG0000619	0	18	18
OG0000620	0	18	18
OG0000621	0	18	18
OG0000622	0	18	18
OG0000623	0	18	18
OG0000624	0	18	18
OG0000625	0	18	18
OG0000626	0	18	18
OG0000627	0	18	18
OG0000628	0	18	18
OG0000629	0	18	18
OG0000630	17	0	17
OG0000631	17	0	17
OG0000632	17	0	17
OG0000633	17	0	17
OG0000634	15	2	17
OG0000635	17	0	17
OG0000636	13	4	17
OG0000637	3	14	17
OG0000638	16	1	17
OG0000639	17	0	17
OG0000640	17	0	17
OG0000641	2	15	17
OG0000642	17	0	17
OG0000643	17	0	17
OG0000644	17	0	17
OG0000645	17	0	17
OG0000646	17	0	17
OG0000647	2	15	17
OG0000648	17	0	17
OG0000649	17	0	17
OG0000650	1	16	17
OG0000651	16	1	17
OG0000652	17	0	17
OG0000653	2	15	17
OG0000654	16	1	17
OG0000655	17	0	17
OG0000656	16	1	17
OG0000657	17	0	17
OG0000658	17	0	17
OG0000659	17	0	17
OG0000660	17	0	17
OG0000661	17	0	17
OG0000662	17	0	17
OG0000663	1	16	17
OG0000664	17	0	17
OG0000665	17	0	17
OG0000666	16	1	17
OG0000667	17	0	17
OG0000668	17	0	17
OG0000669	17	0	17
OG0000670	17	0	17
OG0000671	16	1	17
OG0000672	17	0	17
OG0000673	17	0	17
OG0000674	17	0	17
OG0000675	17	0	17
OG0000676	1	16	17
OG0000677	1	16	17
OG0000678	0	17	17
OG0000679	0	17	17
OG0000680	0	17	17
OG0000681	0	17	17
OG0000682	0	17	17
OG0000683	0	17	17
OG0000684	0	17	17
OG0000685	0	17	17
OG0000686	16	0	16
OG0000687	16	0	16
OG0000688	15	1	16
OG0000689	16	0	16
OG0000690	16	0	16
OG0000691	16	0	16
OG0000692	16	0	16
OG0000693	16	0	16
OG0000694	15	1	16
OG0000695	16	0	16
OG0000696	15	1	16
OG0000697	16	0	16
OG0000698	16	0	16
OG0000699	15	1	16
OG0000700	16	0	16
OG0000701	1	15	16
OG0000702	15	1	16
OG0000703	16	0	16
OG0000704	16	0	16
OG0000705	15	1	16
OG0000706	16	0	16
OG0000707	16	0	16
OG0000708	16	0	16
OG0000709	16	0	16
OG0000710	16	0	16
OG0000711	16	0	16
OG0000712	16	0	16
OG0000713	16	0	16
OG0000714	15	1	16
OG0000715	16	0	16
OG0000716	15	1	16
OG0000717	16	0	16
OG0000718	16	0	16
OG0000719	16	0	16
OG0000720	16	0	16
OG0000721	16	0	16
OG0000722	16	0	16
OG0000723	15	1	16
OG0000724	16	0	16
OG0000725	16	0	16
OG0000726	16	0	16
OG0000727	16	0	16
OG0000728	16	0	16
OG0000729	2	14	16
OG0000730	11	5	16
OG0000731	16	0	16
OG0000732	16	0	16
OG0000733	14	2	16
OG0000734	16	0	16
OG0000735	16	0	16
OG0000736	16	0	16
OG0000737	16	0	16
OG0000738	2	14	16
OG0000739	0	16	16
OG0000740	0	16	16
OG0000741	0	16	16
OG0000742	0	16	16
OG0000743	0	16	16
OG0000744	0	16	16
OG0000745	0	16	16
OG0000746	0	16	16
OG0000747	0	16	16
OG0000748	0	16	16
OG0000749	0	16	16
OG0000750	0	16	16
OG0000751	0	16	16
OG0000752	0	16	16
OG0000753	0	16	16
OG0000754	15	0	15
OG0000755	14	1	15
OG0000756	15	0	15
OG0000757	15	0	15
OG0000758	15	0	15
OG0000759	14	1	15
OG0000760	14	1	15
OG0000761	15	0	15
OG0000762	15	0	15
OG0000763	14	1	15
OG0000764	15	0	15
OG0000765	15	0	15
OG0000766	14	1	15
OG0000767	15	0	15
OG0000768	15	0	15
OG0000769	15	0	15
OG0000770	14	1	15
OG0000771	15	0	15
OG0000772	15	0	15
OG0000773	14	1	15
OG0000774	15	0	15
OG0000775	15	0	15
OG0000776	15	0	15
OG0000777	15	0	15
OG0000778	15	0	15
OG0000779	15	0	15
OG0000780	15	0	15
OG0000781	14	1	15
OG0000782	15	0	15
OG0000783	15	0	15
OG0000784	15	0	15
OG0000785	14	1	15
OG0000786	15	0	15
OG0000787	15	0	15
OG0000788	2	13	15
OG0000789	1	14	15
OG0000790	15	0	15
OG0000791	14	1	15
OG0000792	15	0	15
OG0000793	1	14	15
OG0000794	15	0	15
OG0000795	15	0	15
OG0000796	14	1	15
OG0000797	15	0	15
OG0000798	15	0	15
OG0000799	15	0	15
OG0000800	15	0	15
OG0000801	14	1	15
OG0000802	15	0	15
OG0000803	15	0	15
OG0000804	15	0	15
OG0000805	15	0	15
OG0000806	14	1	15
OG0000807	15	0	15
OG0000808	15	0	15
OG0000809	15	0	15
OG0000810	1	14	15
OG0000811	5	10	15
OG0000812	0	15	15
OG0000813	0	15	15
OG0000814	0	15	15
OG0000815	0	15	15
OG0000816	0	15	15
OG0000817	0	15	15
OG0000818	0	15	15
OG0000819	0	15	15
OG0000820	0	15	15
OG0000821	0	15	15
OG0000822	0	15	15
OG0000823	0	15	15
OG0000824	0	15	15
OG0000825	0	15	15
OG0000826	0	15	15
OG0000827	0	15	15
OG0000828	14	0	14
OG0000829	14	0	14
OG0000830	14	0	14
OG0000831	13	1	14
OG0000832	14	0	14
OG0000833	13	1	14
OG0000834	14	0	14
OG0000835	14	0	14
OG0000836	13	1	14
OG0000837	12	2	14
OG0000838	14	0	14
OG0000839	1	13	14
OG0000840	14	0	14
OG0000841	14	0	14
OG0000842	14	0	14
OG0000843	10	4	14
OG0000844	14	0	14
OG0000845	14	0	14
OG0000846	14	0	14
OG0000847	14	0	14
OG0000848	14	0	14
OG0000849	14	0	14
OG0000850	13	1	14
OG0000851	14	0	14
OG0000852	14	0	14
OG0000853	13	1	14
OG0000854	14	0	14
OG0000855	14	0	14
OG0000856	11	3	14
OG0000857	12	2	14
OG0000858	14	0	14
OG0000859	14	0	14
OG0000860	14	0	14
OG0000861	14	0	14
OG0000862	14	0	14
OG0000863	14	0	14
OG0000864	14	0	14
OG0000865	13	1	14
OG0000866	14	0	14
OG0000867	14	0	14
OG0000868	14	0	14
OG0000869	14	0	14
OG0000870	14	0	14
OG0000871	14	0	14
OG0000872	14	0	14
OG0000873	13	1	14
OG0000874	14	0	14
OG0000875	14	0	14
OG0000876	14	0	14
OG0000877	14	0	14
OG0000878	14	0	14
OG0000879	14	0	14
OG0000880	14	0	14
OG0000881	14	0	14
OG0000882	14	0	14
OG0000883	14	0	14
OG0000884	14	0	14
OG0000885	14	0	14
OG0000886	14	0	14
OG0000887	14	0	14
OG0000888	14	0	14
OG0000889	14	0	14
OG0000890	14	0	14
OG0000891	13	1	14
OG0000892	14	0	14
OG0000893	14	0	14
OG0000894	14	0	14
OG0000895	14	0	14
OG0000896	14	0	14
OG0000897	14	0	14
OG0000898	3	11	14
OG0000899	13	1	14
OG0000900	14	0	14
OG0000901	1	13	14
OG0000902	14	0	14
OG0000903	14	0	14
OG0000904	14	0	14
OG0000905	1	13	14
OG0000906	1	13	14
OG0000907	14	0	14
OG0000908	2	12	14
OG0000909	1	13	14
OG0000910	1	13	14
OG0000911	14	0	14
OG0000912	0	14	14
OG0000913	0	14	14
OG0000914	0	14	14
OG0000915	0	14	14
OG0000916	0	14	14
OG0000917	0	14	14
OG0000918	0	14	14
OG0000919	0	14	14
OG0000920	0	14	14
OG0000921	0	14	14
OG0000922	0	14	14
OG0000923	0	14	14
OG0000924	0	14	14
OG0000925	0	14	14
OG0000926	0	14	14
OG0000927	0	14	14
OG0000928	0	14	14
OG0000929	0	14	14
OG0000930	0	14	14
OG0000931	0	14	14
OG0000932	12	1	13
OG0000933	13	0	13
OG0000934	11	2	13
OG0000935	13	0	13
OG0000936	11	2	13
OG0000937	13	0	13
OG0000938	13	0	13
OG0000939	13	0	13
OG0000940	13	0	13
OG0000941	13	0	13
OG0000942	13	0	13
OG0000943	13	0	13
OG0000944	12	1	13
OG0000945	13	0	13
OG0000946	4	9	13
OG0000947	13	0	13
OG0000948	13	0	13
OG0000949	13	0	13
OG0000950	13	0	13
OG0000951	13	0	13
OG0000952	12	1	13
OG0000953	13	0	13
OG0000954	12	1	13
OG0000955	1	12	13
OG0000956	13	0	13
OG0000957	13	0	13
OG0000958	1	12	13
OG0000959	13	0	13
OG0000960	13	0	13
OG0000961	13	0	13
OG0000962	2	11	13
OG0000963	12	1	13
OG0000964	13	0	13
OG0000965	13	0	13
OG0000966	13	0	13
OG0000967	11	2	13
OG0000968	13	0	13
OG0000969	12	1	13
OG0000970	12	1	13
OG0000971	13	0	13
OG0000972	13	0	13
OG0000973	13	0	13
OG0000974	13	0	13
OG0000975	13	0	13
OG0000976	5	8	13
OG0000977	13	0	13
OG0000978	13	0	13
OG0000979	13	0	13
OG0000980	1	12	13
OG0000981	13	0	13
OG0000982	12	1	13
OG0000983	13	0	13
OG0000984	1	12	13
OG0000985	13	0	13
OG0000986	13	0	13
OG0000987	13	0	13
OG0000988	13	0	13
OG0000989	12	1	13
OG0000990	12	1	13
OG0000991	13	0	13
OG0000992	13	0	13
OG0000993	13	0	13
OG0000994	13	0	13
OG0000995	13	0	13
OG0000996	13	0	13
OG0000997	13	0	13
OG0000998	13	0	13
OG0000999	13	0	13
OG0001000	12	1	13
OG0001001	13	0	13
OG0001002	10	3	13
OG0001003	13	0	13
OG0001004	13	0	13
OG0001005	13	0	13
OG0001006	13	0	13
OG0001007	13	0	13
OG0001008	13	0	13
OG0001009	12	1	13
OG0001010	13	0	13
OG0001011	13	0	13
OG0001012	13	0	13
OG0001013	13	0	13
OG0001014	12	1	13
OG0001015	13	0	13
OG0001016	13	0	13
OG0001017	13	0	13
OG0001018	13	0	13
OG0001019	12	1	13
OG0001020	13	0	13
OG0001021	13	0	13
OG0001022	13	0	13
OG0001023	13	0	13
OG0001024	13	0	13
OG0001025	13	0	13
OG0001026	1	12	13
OG0001027	1	12	13
OG0001028	13	0	13
OG0001029	1	12	13
OG0001030	13	0	13
OG0001031	13	0	13
OG0001032	1	12	13
OG0001033	1	12	13
OG0001034	10	3	13
OG0001035	0	13	13
OG0001036	0	13	13
OG0001037	0	13	13
OG0001038	0	13	13
OG0001039	0	13	13
OG0001040	0	13	13
OG0001041	0	13	13
OG0001042	0	13	13
OG0001043	0	13	13
OG0001044	0	13	13
OG0001045	0	13	13
OG0001046	0	13	13
OG0001047	0	13	13
OG0001048	0	13	13
OG0001049	0	13	13
OG0001050	0	13	13
OG0001051	0	13	13
OG0001052	0	13	13
OG0001053	11	1	12
OG0001054	12	0	12
OG0001055	12	0	12
OG0001056	1	11	12
OG0001057	7	5	12
OG0001058	1	11	12
OG0001059	10	2	12
OG0001060	12	0	12
OG0001061	12	0	12
OG0001062	1	11	12
OG0001063	11	1	12
OG0001064	12	0	12
OG0001065	10	2	12
OG0001066	12	0	12
OG0001067	12	0	12
OG0001068	1	11	12
OG0001069	11	1	12
OG0001070	12	0	12
OG0001071	11	1	12
OG0001072	11	1	12
OG0001073	12	0	12
OG0001074	12	0	12
OG0001075	12	0	12
OG0001076	12	0	12
OG0001077	12	0	12
OG0001078	12	0	12
OG0001079	12	0	12
OG0001080	10	2	12
OG0001081	12	0	12
OG0001082	12	0	12
OG0001083	12	0	12
OG0001084	12	0	12
OG0001085	12	0	12
OG0001086	10	2	12
OG0001087	11	1	12
OG0001088	12	0	12
OG0001089	12	0	12
OG0001090	12	0	12
OG0001091	12	0	12
OG0001092	11	1	12
OG0001093	12	0	12
OG0001094	9	3	12
OG0001095	12	0	12
OG0001096	12	0	12
OG0001097	6	6	12
OG0001098	12	0	12
OG0001099	1	11	12
OG0001100	11	1	12
OG0001101	12	0	12
OG0001102	1	11	12
OG0001103	12	0	12
OG0001104	12	0	12
OG0001105	12	0	12
OG0001106	12	0	12
OG0001107	12	0	12
OG0001108	12	0	12
OG0001109	12	0	12
OG0001110	12	0	12
OG0001111	12	0	12
OG0001112	11	1	12
OG0001113	12	0	12
OG0001114	12	0	12
OG0001115	12	0	12
OG0001116	12	0	12
OG0001117	12	0	12
OG0001118	10	2	12
OG0001119	12	0	12
OG0001120	12	0	12
OG0001121	12	0	12
OG0001122	12	0	12
OG0001123	12	0	12
OG0001124	11	1	12
OG0001125	12	0	12
OG0001126	12	0	12
OG0001127	12	0	12
OG0001128	12	0	12
OG0001129	11	1	12
OG0001130	12	0	12
OG0001131	12	0	12
OG0001132	11	1	12
OG0001133	12	0	12
OG0001134	11	1	12
OG0001135	12	0	12
OG0001136	12	0	12
OG0001137	12	0	12
OG0001138	12	0	12
OG0001139	12	0	12
OG0001140	12	0	12
OG0001141	11	1	12
OG0001142	12	0	12
OG0001143	12	0	12
OG0001144	11	1	12
OG0001145	11	1	12
OG0001146	12	0	12
OG0001147	12	0	12
OG0001148	12	0	12
OG0001149	1	11	12
OG0001150	12	0	12
OG0001151	12	0	12
OG0001152	12	0	12
OG0001153	12	0	12
OG0001154	12	0	12
OG0001155	12	0	12
OG0001156	10	2	12
OG0001157	12	0	12
